SECUCODE,SECURITY_CODE,INDUSTRY_CODE,ORG_CODE,SECURITY_NAME_ABBR,INDUSTRY_NAME,MARKET,SECURITY_TYPE_CODE,TRADE_MARKET_CODE,DATE_TYPE_CODE,REPORT_TYPE_CODE,DATA_STATE,NOTICE_DATE,REPORT_DATE,TOTAL_ASSETS,FIXED_ASSET,MONETARYFUNDS,MONETARYFUNDS_RATIO,ACCOUNTS_RECE,ACCOUNTS_RECE_RATIO,INVENTORY,INVENTORY_RATIO,TOTAL_LIABILITIES,ACCOUNTS_PAYABLE,ACCOUNTS_PAYABLE_RATIO,ADVANCE_RECEIVABLES,ADVANCE_RECEIVABLES_RATIO,TOTAL_EQUITY,TOTAL_EQUITY_RATIO,TOTAL_ASSETS_RATIO,TOTAL_LIAB_RATIO,CURRENT_RATIO,DEBT_ASSET_RATIO,CASH_DEPOSIT_PBC,CDP_RATIO,LOAN_ADVANCE,LOAN_ADVANCE_RATIO,AVAILABLE_SALE_FINASSET,ASF_RATIO,LOAN_PBC,LOAN_PBC_RATIO,ACCEPT_DEPOSIT,ACCEPT_DEPOSIT_RATIO,SELL_REPO_FINASSET,SRF_RATIO,SETTLE_EXCESS_RESERVE,SER_RATIO,BORROW_FUND,BORROW_FUND_RATIO,AGENT_TRADE_SECURITY,ATS_RATIO,PREMIUM_RECE,PREMIUM_RECE_RATIO,SHORT_LOAN,SHORT_LOAN_RATIO,ADVANCE_PREMIUM,ADVANCE_PREMIUM_RATIO
603949.SH,603949,016035,10631046,雪龙集团,汽车行业,shzb,058001001,069001001001,002,001,2,2020-02-05 00:00:00,2019-06-30 00:00:00,448793190.32,141625885.47,14677823.23,,126998523.22,,55432903.02,,70145854.56,16713095.23,,662350.47,,378647335.76,,,,604.8969599571,15.6298838915,,,,,,,,,,,,,,,,,,,,,,,,
300817.SZ,300817,016043,10195230,双飞股份,机械行业,cyb,058001001,069001002002,002,001,2,2020-02-05 00:00:00,2019-06-30 00:00:00,590537290.7,223859369.12,34340310.61,63.5031276387,137587133.17,,64154789.07,-16.7037430101,132874785.7,29101568.55,,1943623.66,-0.8280749832,457662505,13.1117232423,0.791457966,-26.7055890063,214.2124358276,22.5006596184,,,,,,,,,,,,,,,,,,,,,,,,
688186.SH,688186,016059,10654782,广大特材,金属制品,kcb,058001001,069001001006,002,001,2,2020-02-04 00:00:00,2019-06-30 00:00:00,2401992454.27,622408619.61,117489149.51,,392121720.84,,639363146.39,,1459999554.59,637215090.85,,23689939.89,,941992899.68,,,,108.5297160976,60.7828535012,,,,,,,,,,,,,,,,,,,,,,,,
601696.SH,601696,016027,10004926,中银证券,券商信托,shzb,058001001,069001001001,002,001,2,2020-01-31 00:00:00,2019-06-30 00:00:00,51307186790.05,67621992.02,17524467788.96,41.3862644261,3247128378.32,513.7347882803,,,38836110434.54,246927039.14,-14.7170275663,,,12471076355.51,4.8693900193,6.867681662,7.5256277785,,75.6933148439,,,,,,,,,,,2867772931.61,26.9045624524,2273942732.16,-5.5230782869,300000000,-85,13885715747.18,22.4690195122,,,,,,
300820.SZ,300820,016061,10181954,英杰电气,专用设备,cyb,058001001,069001002002,002,001,2,2020-01-31 00:00:00,2019-06-30 00:00:00,736130042.98,46224176.85,173236955.77,77.4114075494,88651950.96,,236374474.07,-23.1281761857,253678437.25,40182045.65,,199666953.15,-17.1628103306,482451605.73,27.8075301686,2.9697161192,-24.8174465416,268.6847357016,34.4610900844,,,,,,,,,,,,,,,,,,,,,,,,
000038.SZ,000038,016037,10004122,深大通,国际贸易,szzb,058001001,069001002001,002,001,2,2020-01-23 00:00:00,2019-06-30 00:00:00,3010605956.85,47452773.37,1328827782.01,-27.1358770707,517277799.44,-39.9872670475,111430901.93,212.4097896839,370273481.78,237847207.29,42.7752315774,45754982.8,-49.7779425875,2640332475.07,-50.1930436635,-46.974570495,-1.6622768853,673.3667525797,12.2989686159,,,,,,,,,,,,,,,,,,,,,,,,
688298.SH,688298,016047,10000015557,东方生物,医疗行业,kcb,058001001,069001001006,002,001,2,2020-01-22 00:00:00,2019-06-30 00:00:00,318239116.65,47611984.61,66892692.88,,80328917.3,,71371758.05,,110676200.53,34527801.38,,3799418.56,,207562916.12,,,,217.9689715634,34.777685941,,,,,,,,,,,,,,,,,,,,,,,,
300818.SZ,300818,016061,10489265,耐普矿机,专用设备,cyb,058001001,069001002002,002,001,2,2020-01-22 00:00:00,2019-06-30 00:00:00,601321017.82,171335576.64,181408992.71,,81389248.38,,98202124.1,,119464918.83,59213038.66,,4066266.18,,481856098.99,,,,334.5316110732,19.8670785304,,,,,,,,,,,,,,,,,,,,,,,,
603719.SH,603719,016012,10184095,良品铺子,食品饮料,shzb,058001001,069001001001,002,001,2,2020-01-21 00:00:00,2019-06-30 00:00:00,3052068372.29,536007252.12,1292635994.03,332.9639676515,166910130.29,,465247659.31,10.4823057426,1739142666.52,622857961.47,,119972695.1,9.8955298495,1312925705.77,35.4855511277,11.2155476349,-2.0328209178,129.7739582821,56.9824281235,,,,,,,,,,,,,,,,,,,,,,,,
688266.SH,688266,016024,10292682,泽璟制药,医药制造,kcb,058001001,069001001006,002,001,2,2020-01-20 00:00:00,2019-06-30 00:00:00,376578052.29,57952016.85,88892720.2,,,,2947438.79,,198264913.23,,,323000,,178313139.06,,,,147.7044958701,52.6490888209,,,,,,,,,,,,,,,,,,,,,,,,
