26,605099,共创草坪,详细  数据,1.12亿,-,7.35亿,-,4.77亿,6002万,3238万,409万,6.06亿,1.32亿,1.32亿,09-10,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605099.html
27,688585,上纬新材,详细  数据,4123万,-,6.35亿,-,5.03亿,3075万,2690万,85.41万,5.74亿,5945万,5266万,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688585.html
28,688013,天臣医疗,详细  数据,2147万,-,8141万,-,3293万,1174万,615万,-48.54万,5753万,2340万,2467万,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688013.html
29,605136,丽人丽妆,详细  数据,1.51亿,-,16.57亿,-,10.49亿,4.33亿,3884万,-264万,15.28亿,1.89亿,1.89亿,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605136.html
30,605018,长华股份,详细  数据,7461万,-,6.68亿,-,5.07亿,1091万,3926万,517万,6.03亿,8206万,8731万,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605018.html
31,300896,爱美客,详细  数据,1.29亿,-,2.4亿,-,1896万,2962万,2364万,-78.16万,9375万,1.49亿,1.49亿,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300896.html
32,300460,惠伦晶体,详细  数据,27.99万,-96.46,1.26亿,-22.90,1.04亿,459万,1115万,-15.5万,1.28亿,55.73万,61.81万,09-09,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300460.html
33,688595,芯海科技,详细  数据,1184万,-,9290万,-,5253万,324万,1070万,-117万,8579万,973万,980万,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/688595.html
34,605218,伟时电子,详细  数据,3631万,-,5.64亿,-,4.43亿,1459万,3347万,-79.14万,5.26亿,3788万,3891万,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605218.html
35,300736,百邦科技,详细  数据,-1434万,-174.41,1.31亿,-37.75,1.07亿,1201万,3192万,4.28万,1.56亿,-2179万,-1897万,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/300736.html
36,002742,三圣股份,详细  数据,7600万,11.55,14.86亿,18.27,11.87亿,1703万,9570万,5595万,13.81亿,1.17亿,1.15亿,09-08,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/002742.html
37,605111,新洁能,详细  数据,3743万,-54.32,3.28亿,-9.12,2.64亿,485万,806万,-227万,2.86亿,4228万,4232万,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605111.html
38,605003,众望布艺,详细  数据,3908万,-,2.06亿,-,1.21亿,1741万,1374万,-34.49万,1.65亿,4545万,4578万,09-07,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/zcfz/605003.html
