26,003011,海象新材,详细,2.51,8.59亿,9.57,-,1.38亿,54.42,-,7.5993,39.15,3.3414,33.05,-,塑胶制品,09-17,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/003011.html
27,837344,三元基因,详细,0.55,2.78亿,-7.54,-,6009万,3.43,-,2.53,22.31,0.6441,84.71,10派5.00,-,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/837344.html
28,833789,ST贵之步,详细,-0.06,1240万,22.92,-,-204万,-333.91,-,0.31,-18.83,0.0433,63.35,不分配不转增,-,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/833789.html
29,831550,成大生物,详细,1.86,16.77亿,20.59,-27.28,6.98亿,12.59,-71.42,9.14,22.04,1.9315,85.69,10派6.00,-,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/831550.html
30,688330,宏力达,详细,3.18,7.05亿,70.00,38.95,2.39亿,144.77,119.73,8.542,44.52,0.3954,55.90,-,输配电气,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688330.html
31,688156,路德环境,详细,0.64,3.04亿,34.73,-,4406万,140.88,-,4.8779,14.03,0.4428,37.10,-,环保工程,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688156.html
32,688127,蓝特光学,详细,0.32,3.34亿,-15.35,-,1.16亿,1.93,-,1.791,17.40,0.5618,53.70,-,电子元件,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/688127.html
33,605136,丽人丽妆,详细,0.79,38.74亿,7.18,-,2.86亿,13.36,-,4.4003,19.86,0.6124,35.61,-,商业百货,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605136.html
34,605018,长华股份,详细,0.55,14.31亿,-5.77,-,2.06亿,-1.50,-,3.7334,15.69,0.8035,26.33,-,汽车行业,09-16,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/605018.html
35,871396,常辅股份,详细,0.79,2.52亿,16.41,8.73,2896万,4.44,-42.64,4.55,17.63,0.9101,39.39,不分配不转增,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/871396.html
36,837679,百川环能,详细,1.01,4.64亿,47.85,-,1.21亿,31.16,-,7.55,14.29,0.9025,48.24,不分配不转增,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/837679.html
37,837539,思瑞浦,详细,1.67,3.04亿,166.47,-,7098万,904.82,-,3.6497,52.52,-0.0886,59.41,-,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/837539.html
38,837092,汉鑫科技,详细,1.09,2.39亿,46.02,153.79,4118万,34.84,53.42,4.08,30.88,-0.1371,33.70,不分配不转增,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/837092.html
39,835212,多想互动,详细,1.57,3.92亿,34.89,197.02,8008万,40.44,246.35,4.97,37.62,1.125,34.49,不分配不转增,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/835212.html
40,834933,正弦电气,详细,0.87,2.81亿,26.31,-,5596万,38.25,-,3.65,26.60,0.5751,39.39,不分配不转增,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/834933.html
41,834839,之江生物,详细,0.35,2.59亿,15.39,-,5152万,-17.33,-,3.92,9.23,0.525,76.12,10派4.50,-,09-15,http://data.eastmoney.comhttp://data.eastmoney.com/bbsj/yjbb/834839.html
