word_rank,university,country
209,贝尔法斯特女王大学,英国
210,加州大学尔湾分校,美国
211,哈里发科技大学,阿联酋
211,圣母大学,美国
213,巴塞罗那自治大学,西班牙
214,麦考瑞大学,澳大利亚
214,奈梅亨大学,荷兰
216,帕多瓦大学,意大利
217,科廷大学,澳大利亚
217,昆士兰科技大学,澳大利亚
217,弗吉尼亚大学,美国
220,贝鲁特美国大学,黎巴嫩
220,亚利桑那州立大学,美国
220,开普敦大学,南非
223,皇家墨尔本理工大学,澳大利亚
223,惠灵顿维多利亚大学,新西兰
225,圣彼得堡国立大学,俄罗斯
226,拉夫堡大学,英国
227,洛斯安第斯大学,哥伦比亚
228,新西伯利亚国立大学,俄罗斯
228,汉堡大学,德国
230,乔治敦大学,美国
230,特拉维夫大学,以色列
230,科罗拉多大学博尔德分校,美国
233,坎皮纳斯大学,巴西
234,马斯特里赫特大学,荷兰
234,国立  成功  大学,中国台湾
236,庆熙大学,南韩
236,阿姆斯特丹自由大学,荷兰
238,爱尔兰国立大学（高威）,爱尔兰
238,安特卫普大学,比利时
240,国立交通大学,中国台湾
240,波恩大学,德国
242,巴黎高等路桥学院,法国
242,巴黎政治学院,法国
242,莱斯特大学,英国
245,卡塔尔大学,卡塔尔
246,皇后大学,加拿大
246,卡尔加里大学,加拿大
246,萨塞克斯大学,英国
246,武汉大学,中国
250,托木斯克国立大学,俄罗斯
250,布鲁塞尔自由大学（法语）,比利时
252,玛希隆大学,泰国
252,纳瓦拉大学,西班牙
254,加札马达大学,印度尼西亚
254,文莱达鲁萨兰大学,文莱
256,同济大学,中国
256,伊利诺伊大学芝加哥分校,美国
258,罗格斯大学,美国
259,哥伦比亚国立大学,哥伦比亚
260,布拉格查尔斯大学,捷克
260,哈尔滨工业大学,中国
260,塔夫斯大学,美国
263,中山大学,中国
264,香港浸会大学,中国香港
265,因斯布鲁克大学,奥地利
265,筑波大学,日本
267,国立台湾科技大学,中国台湾
267,达姆施塔特工业大学,德国
267,萨里大学,英国
270,坎特伯雷大学（新西兰）,新西兰
270,马萨诸塞大学阿默斯特分校,美国
272,梅西大学,新西兰
273,提契诺大学,瑞士
273,亚利桑那大学,美国
275,迪肯大学,澳大利亚
275,印度理工学院马德拉斯分校,印度
275,格拉茨工业大学,奥地利
275,巴黎大学,法国
279,北京师范大学,中国
279,渥太华大学,加拿大
281,莫斯科物理技术学院,俄罗斯
282,鲍曼大学,俄罗斯
282,科隆大学,德国
284,阿联酋大学,阿联酋
285,塔尔图大学,爱沙尼亚
286,科克大学学院,爱尔兰
287,沙特国王大学,沙特
287,庞培法布拉大学,西班牙
287,巴黎第一大学,法国
287,图库大学,芬兰
291,戴尔豪斯大学,加拿大
291,萨克雷高等师范学院,法国
291,以色列理工学院,以色列
291,迈阿密大学,美国
295,光州科技学院,南韩
295,北卡罗来纳州立大学,美国
295,南澳大学,澳大利亚
298,俄罗斯国立高等经济学院,俄罗斯
298,国立阳明大学,中国台湾
300,斯凯莱德大学,英国
301,赫瑞瓦特大学,英国
301,米兰大学,意大利
303,格里菲斯大学,澳大利亚
303,西安交通大学,中国
305,奥尔堡大学,丹麦
305,印度尼西亚大学,印度尼西亚
305,巴黎萨克雷大学,法国
307,曼海姆大学,德国
308,都灵理工大学,意大利
308,伦敦大学皇家霍洛威学院,英国
308,塔斯马尼亚大学,澳大利亚
311,马德里卡洛斯三世大学,西班牙
311,法兰克福大学,德国
313,万隆理工学院,印度尼西亚
314,印度理工学院克勒格布尔分校,印度
314,莫斯科核子研究大学,俄罗斯
314,加泰罗尼亚理工大学,西班牙
317,白俄罗斯国立大学,白俄罗斯
317,埃尔朗根-纽伦堡大学,德国
319,邓迪大学,英国
320,印第安纳大学伯明顿分校,美国
321,广岛大学,日本
321,华沙大学,波兰
323,西门菲莎大学,加拿大
323,南方科技大学,中国
323,耶拿大学,德国
326,雅盖隆大学,波兰
326,阿根廷天主教大学,阿根廷
326,俄罗斯友谊大学,俄罗斯
326,瓦伦西亚理工大学,西班牙
327,得恩普萨大学,西班牙
326,弗吉尼亚理工学院,美国
331,国立台湾师范大学,中国台湾
331,乌拉尔联邦大学,俄罗斯
333,梨花女子大学,南韩
333,于默奥大学,瑞典
333,斯图加特大学,德国
333,东安格利亚大学,英国
333,夏威夷大学马诺阿分校,美国
333,于韦斯屈莱大学,芬兰
333,犹他大学,美国
341,叶史瓦大学,美国
342,格勒诺布尔大学,法国
342,布拉格化工大学,捷克
344,伦敦大学伯克贝克学院,英国
344,乌尔姆大学,德国
346,伦敦大学亚非学院,英国
346,纽约州立大学水牛城分校,美国
348,沙迦美国大学,阿联酋
348,莫斯科国立国际关系学院,俄罗斯
350,伦敦城市大学,英国
350,印度理工学院坎普尔分校,印度
350,文莱工业大学,文莱
353,乔治华盛顿大学,美国
353,南丹麦大学,丹麦
355,伊斯兰堡国立科技大学,巴基斯坦
356,明斯特大学,德国
357,国立欧亚大学,哈萨克斯坦
357,里斯本大学,葡萄牙
357,波尔图大学,葡萄牙
360,圣彼得堡国立信息技术大学,俄罗斯
360,挪威科技大学,挪威
362,林茨大学,奥地利
362,林雪平大学,瑞典
362,东北大学,美国
362,东京医科齿科大学,日本
367,澳门大学,中国澳门
368,布鲁内尔大学,英国
368,蒂尔堡大学,荷兰
370,喀山联邦大学,俄罗斯
370,维多利亚大学（加拿大）,加拿大
372,斯威本科技大学,澳大利亚
373,巴基斯坦工程与应用科学学院,巴基斯坦
373,纽约州立大学石溪分校,美国
375,苏丹卡布斯大学,阿曼
375,怀卡托大学,新西兰
377,南开大学,中国
377,巴勒莫大学,阿根廷
379,泰勒大学,马来西亚
380,里约热内卢联邦大学,巴西
380,肯特大学,英国
380,维克森林大学,美国
383,印度理工学院鲁尔基分校,印度
383,牛津布鲁克斯大学,英国
383,比萨大学,意大利
383,堪萨斯大学,美国
387,林肯大学,新西兰
387,上海大学,中国
387,台北医学大学,中国台湾
387,天津  大学,中国
391,思特雅大学,马来西亚
392,北京理工大学,中国
392,韩国外国语大学,南韩
392,那不勒斯腓特烈二世大学,意大利
392,圣拉斐尔大学,意大利
396,华中科技大学,中国
396,菲律宾大学,菲律宾
398,拉筹伯大学,澳大利亚
398,斯特拉斯堡大学,法国
398,科罗拉多大学丹佛分校,美国
401,圣彼得堡理工大学,俄罗斯
401,托木斯克理工大学,俄罗斯
403,韩国中央大学,南韩
403,美因茨大学,德国
403,神户大学,日本
403,特伦托大学,意大利
403,金山大学,南非
408,奥卢大学,芬兰
409,沙里夫理工大学,伊朗
409,坦佩雷理工大学,芬兰
411,开罗美国大学,埃及
411,埃塞克斯大学,英国
411,华盛顿州立大学,美国
414,邦德大学,澳大利亚
414,杜兰大学,美国
416,伦敦大学金史密斯学院,英国
416,国立中山大学,中国台湾
416,加州大学圣克鲁兹分校,美国
416,特罗姆瑟大学,挪威
420,拉瓦尔大学,加拿大
420,圣保罗联邦大学,巴西
420,爱荷华大学,美国
423,佛林德斯大学,澳大利亚
423,维尔纽斯大学,立陶宛
425,波尔多大学,法国
426,伊利诺伊理工学院,美国
426,哈韦里安纳主教大学,哥伦比亚
428,俄罗斯国立科技大学,俄罗斯
428,新葡京大学,葡萄牙
428,圣加仑大学,瑞士
431,科英布拉大学,葡萄牙
432,布拉格工业大学,捷克
432,秘鲁天主大学,秘鲁
432,佛罗伦萨大学,意大利
432,田纳西大学,美国
432,厦门大学,中国
437,奥克兰理工大学,新西兰
437,维尔茨堡大学,德国
439,都柏林城市大学,爱尔兰
439,波鸿大学,德国
439,马来西亚石油大学,马来西亚
439,约翰内斯堡大学,南非
443,科罗拉多州立大学,美国
443,阿根廷奥斯特拉尔大学,阿根廷
443,康斯坦茨大学,德国
446,本古里安大学,以色列
446,布兰迪斯大学,美国
446,北京科技大学,中国
449,北京航空航天大学,中国
449,加州大学河滨分校,美国
451,马德里理工大学,西班牙
451,萨尔大学,德国
451,列日大学,比利时
454,波士顿学院,美国
454,奎德阿萨姆大学,巴基斯坦
456,东国大学,南韩
456,佛罗里达州立大学,美国
456,哈瑟尔特大学,比利时
456,斯泰伦博斯大学,南非
456,韩国天主大学,南韩
456,堪培拉大学,澳大利亚
462,詹姆斯库克大学,澳大利亚
462,华南理工大学,中国
462,乌拉圭奥特大学,乌拉圭
465,科奇大学,土耳其
465,国立中央大学,中国台湾
465,贝尔格拉诺大学,阿根廷
465,萨斯喀彻温大学,加拿大
465,横滨市立大学,日本
470,印度理工学院古瓦哈提分校,印度
470,拉彭兰塔理工大学,芬兰
470,哈勒-维滕贝格大学,德国
470,伦斯勒理工学院,美国
474,斯旺西大学,英国
474,麦加大学,沙特
474,西悉尼大学,澳大利亚
477,阿米喀布尔理工大学,伊朗
477,康考迪亚大学,加拿大
477,雅典国立科技大学,希腊
477,塞浦路斯大学,塞浦路斯
